Kogo,Gendaigo
こころにくし,心ひかれる 奥ゆかしい
こころばへ,心遣い 性格 趣
こころもとながる,待ち遠しく思う
こころもとなし,待ち遠しい じれったい 気がかりだ
こころやすし,気楽だ 安心だ
こころをつくす,あれこれ悩む
こちたし,煩わしい 仰々しい
ことなり,別である
ことなり(殊なり),格別だ
ことなり(異なり),違っている
ことやうなり,風変わりだ
ことわり,道理
ことわりなり,もっともだ
こまやかなり,心を込めている 色が濃い 繊細で美しい
こよなし,格段である 格段に劣っている
ごせをとふ とぶらぶ,極楽往生を願って供養する
ごせをねがふ,極楽往生を願う
さ,そう
さうぞうし,物足りない
さうなし,ためらわない
さうなし(双無し),比類ない
さうなし(左右無し),ためらわない
さうにおよばず,言うまでもない
さかし,かしこい 気丈だ 気が利いている
さがなし,意地悪だ いたずらだ
さしたる,大事な たいした〜ない
さす,閉める 途中で~のをやめる
さすがなり,そうは言うもののやはりそのままにはしておけない
さすがに,そうはいってもやはり
させる,たいした(~ない)
させることなし,たいしたことはない
さた,評議 指図 処置
さて,そのまま そのほかの
さながら,そのまま
さはる,妨げられる
さはれ,どうにでもなれ
さばかり,その程度
さぶらふ,お仕えする です ます ございます
さらなり,言うまでもない
さらにもあらず,言うまでもない
さらにもいはず,言うまでもない
さらにも言わず,いまさら言うまでもない
さらに~ず (なし),まったく~ない
さらぬだに,そうでなくてさえ
さらぬ(然らぬ),たいしたことのない
さらぬ(避らぬ),避けられない
さり,そのようだ
さりとも,いくらなんでも
さること,そのようなこと
さるべき,そうなるはずの 立派な
さるべきにや,そうなる宿縁なのだろうか
さる(避る),避ける 断る
さればこそ,思ったとおりだ
さればよ,思ったとおりだ
さればよ さればこそ,思ったとおりだ
さわる,妨げられる
しか,そのように 鹿(掛詞)
したたむ,処理する 用意する 取り締まる
しどけなし,無造作だ 乱れている
しな,身分
しのぶ,人目を避ける
しのぶ(偲ぶ),懐かしく思い出す
しのぶ(忍ぶ),我慢する 人目を避ける
しひて,無理に
しほたる,涙を流す
しるし(名),御利益 効果
しるし(著し)(形),はっきりしている まさにその通りだ
しる(領る・治る),治める形
しる(領る),領有する
しろしめす,ご存じである お治めになる
すきがまし,好色だ
すきずきし,風流だ 色好みだ
すきたり,風流だ
すごし,ものさびしい
すさまじ,興ざめだ 殺風景な
すずろなり,思いがけない 無関係だ
すずろに むげに,むやみに
すなはち,すぐに
すまふ,抵抗する
すまふ(争ふ),抵抗する
すむ,通う
ずちなし,どうしようもない
せうそこ,手紙 訪問
せちなり,切実だ ひたすら
せむかたなし,どうしようもない
せめて,無理やり 非常に
そうす(奏す),天皇・上皇に申し上げる
そぞろなり,わけもなく
そでぬる,涙を流す
